time,lat,long,depth,mag,ms
2009-03-02T14:15:46.310Z,60.49433333333333,-152.77166666666668,1.51,0,1236003346310
2009-03-02T20:54:49.430Z,60.50216666666667,-152.78433333333334,-0.03,0.1,1236027289430
2009-03-03T02:54:36.850Z,61.191833333333335,-152.24566666666666,4.67,0.1,1236048876850
2009-03-03T03:30:57.870Z,60.51766666666666,-152.72283333333334,2.84,0,1236051057870
2009-03-03T11:33:07.420Z,60.51466666666666,-152.7885,1.47,0.1,1236079987420
2009-03-03T12:01:58.500Z,60.5025,-152.76683333333332,2.19,0,1236081718500
2009-03-04T08:58:30.240Z,60.51166666666666,-152.776,0.27,0,1236157110240
2009-03-04T10:04:33.400Z,61.29783333333334,-152.216,-3,0,1236161073400
2009-03-04T10:05:19.930Z,60.499,-152.78283333333334,0.67,0,1236161119930
2009-03-05T01:03:00.490Z,60.47116666666667,-152.7615,4.48,0.1,1236214980490
2009-03-05T16:36:13.160Z,60.4815,-152.78666666666666,1.13,0,1236270973160
2009-03-06T03:05:53.680Z,60.4995,-152.7755,1.42,0.1,1236308753680
2009-03-06T04:45:35.910Z,60.5095,-152.7595,-2.9,0,1236314735910
2009-03-06T13:15:18.130Z,60.06433333333333,-153.05566666666667,1.4,0,1236345318130
2009-03-07T12:22:30.190Z,60.042833333333334,-153.07516666666666,1.57,0.1,1236428550190
2009-03-08T04:59:51.990Z,60.477833333333336,-152.77616666666665,1.01,0.1,1236488391990
2009-03-08T09:52:51.930Z,60.51716666666667,-152.75583333333333,2.32,0.1,1236505971930
2009-03-09T06:39:16.170Z,61.288,-152.21266666666668,-3,0,1236580756170
2009-03-09T09:57:51.250Z,60.51383333333333,-152.73383333333334,-3,0.1,1236592671250
2009-03-09T13:37:14.540Z,60.477333333333334,-152.74966666666666,0.4,0,1236605834540
2009-03-09T14:01:49.580Z,60.483,-152.766,0.21,0,1236607309580
2009-03-09T20:07:34.280Z,60.473,-152.76,5.81,0.1,1236629254280
2009-03-09T21:30:20.220Z,60.0425,-153.07116666666667,0.16,0,1236634220220
2009-03-09T23:58:41.460Z,60.511,-152.77733333333333,0.46,0,1236643121460
2009-03-10T21:31:17.720Z,60.480333333333334,-152.77116666666666,0.79,0.1,1236720677720
2009-03-10T23:45:46.780Z,60.516333333333336,-152.77983333333333,0.78,0.1,1236728746780
2009-03-11T14:56:48.920Z,60.493,-152.77433333333335,-2.78,0.1,1236783408920
2009-03-12T03:34:14.190Z,60.49783333333333,-152.76933333333332,-1.73,0,1236828854190
2009-03-12T06:48:52.290Z,60.4995,-152.77633333333333,-2.81,0.1,1236840532290
2009-03-12T09:00:11.240Z,60.504666666666665,-152.77383333333333,0.74,0,1236848411240
2009-03-12T13:16:17.130Z,60.490833333333335,-152.72966666666667,-2.01,0.1,1236863777130
2009-03-12T13:35:26.430Z,60.481833333333334,-152.76983333333334,-3,0,1236864926430
2009-03-12T20:14:47.400Z,61.141666666666666,-152.28666666666666,4.36,0.1,1236888887400
2009-03-13T08:32:24.500Z,60.488,-152.77633333333333,-3,0.1,1236933144500
2009-03-13T12:16:50.950Z,60.47416666666667,-152.76916666666668,-2.95,0.1,1236946610950
2009-03-13T21:11:25.480Z,60.48116666666667,-152.76733333333334,-0.26,0.1,1236978685480
2009-03-14T03:30:34.820Z,60.48916666666667,-152.76616666666666,-3,0.1,1237001434820
2009-03-14T04:24:16.340Z,60.486,-152.7655,-2.89,0,1237004656340
2009-03-14T08:34:09.360Z,60.483666666666664,-152.76366666666667,0.92,0.1,1237019649360
2009-03-14T09:58:18.850Z,60.48133333333333,-152.76866666666666,1.05,0.1,1237024698850
2009-03-14T10:30:31.130Z,60.47833333333333,-152.7775,6.79,0,1237026631130
2009-03-14T11:50:55.470Z,60.499,-152.7765,0.12,0,1237031455470
2009-03-14T14:17:44.980Z,60.486333333333334,-152.769,-3,0.1,1237040264980
2009-03-15T04:31:36.080Z,60.4815,-152.75633333333334,1.2,0.1,1237091496080
2009-03-15T14:52:48.380Z,60.4795,-152.7715,0.99,0,1237128768380
2009-03-15T20:49:21.760Z,60.49066666666667,-152.7715,-2.85,0.1,1237150161760
2009-03-16T05:42:50.600Z,60.4895,-152.73783333333333,-3,0.1,1237182170600
2009-03-17T02:02:58.050Z,60.49483333333333,-152.76016666666666,4.36,0,1237255378050
2009-03-17T15:17:27.160Z,60.49583333333333,-152.754,-3,0.1,1237303047160
2009-03-18T13:39:29.230Z,60.48983333333334,-152.77033333333333,-3,0.1,1237383569230
2009-03-18T15:08:30.500Z,61.3035,-152.25633333333334,1.01,0.1,1237388910500
2009-03-18T19:56:55.140Z,60.49216666666667,-152.77416666666667,-2.78,0,1237406215140
2009-03-18T23:42:00.810Z,58.269666666666666,-155.00516666666667,1.76,0,1237419720810
2009-03-19T02:14:23.740Z,60.486333333333334,-152.76966666666667,0.73,0,1237428863740
