time,lat,long,depth,mag
2009-12-08T15:27:34.870Z,61.497167661,-151.973835281,0,7
2009-12-08T15:02:31.880Z,58.162000324,-155.326833987,200,7
2009-12-08T09:31:18.570Z,54.76500153,-164.109333552,0,9
2009-12-08T00:53:20.510Z,58.410834155,-154.846168359,306,10
2009-12-07T23:24:15.960Z,58.176000352,-155.335500671,188,15
2009-12-07T21:10:38.900Z,58.188833711,-155.295333924,155,6
2009-12-07T15:08:37.610Z,61.304167275,-152.156833647,437,4
2009-12-07T12:40:24.820Z,51.762501525,-178.396500793,2126,20
2009-12-07T08:13:53.650Z,61.063500127,-152.340500681,352,6
2009-12-07T05:24:31.890Z,58.178500357,-155.331167329,205,13
2009-12-07T04:33:16.610Z,52.094333522,-175.859001718,1512,11
2009-12-07T03:58:53.580Z,61.529501059,-152.064500129,0,4
2009-12-06T19:05:08.330Z,58.281000562,-154.739001478,413,15
2009-12-06T14:43:46.220Z,61.14000028,-152.300667268,405,-1
2009-12-06T09:36:11.210Z,61.258667184,-152.186333706,3262,8
2009-12-06T08:27:15.800Z,53.895835125,-166.792668252,1170,11
2009-12-06T01:30:11.190Z,57.974501949,-155.494334322,1007,20
2009-12-06T00:17:51.150Z,61.174000348,-152.238833811,538,10
2009-12-05T16:34:12.450Z,58.180167027,-155.333000666,476,7
2009-12-05T16:31:33.680Z,61.531334396,-151.935335204,1021,9
2009-12-05T05:33:04.930Z,60.527001054,-152.823001646,3109,13
2009-12-05T04:08:39.260Z,61.315167297,-152.255167177,93,1
2009-12-05T00:49:21.960Z,61.188833711,-152.262667192,655,10
2009-12-04T19:48:10.690Z,52.056833447,-176.081000162,749,2
2009-12-04T04:59:29.130Z,58.239667146,-155.133833601,0,5
2009-12-04T04:38:15.130Z,58.3666674,-154.84500169,1105,9
2009-12-04T04:08:13.740Z,55.090833515,-162.08666684,370,11
2009-12-03T20:51:56.200Z,58.26166719,-155.868835071,425,21
2009-12-03T20:29:41.790Z,58.165666998,-155.399834133,719,9
2009-12-03T18:43:40.310Z,55.090166847,-162.071333476,119,26
2009-12-03T16:30:43.840Z,54.651334636,-163.539834413,994,10
2009-12-03T11:42:12.540Z,61.136166939,-152.307500615,490,2
2009-12-03T06:15:36.220Z,61.04833343,-152.336500673,487,2
2009-12-03T02:45:34.060Z,51.885668438,-177.84666836,474,12
2009-12-02T23:51:10.960Z,58.174167015,-155.351167369,131,13
2009-12-02T23:40:38.520Z,58.247000494,-155.121000242,184,2
2009-12-02T22:57:29.620Z,58.468667604,-154.931001862,452,8
2009-12-02T21:32:42.630Z,54.629001258,-163.533167733,919,16
2009-12-02T21:27:26.790Z,54.647501295,-163.532167731,884,15
2009-12-02T21:14:53.900Z,58.239333812,-155.149166965,152,10
