year,month,day,hour,min,sec,lat,,latM,latMd,long,,longM,longMd,depth,mag
2008,1,20,20,0,4700,53,N,25,64,168,W,6,71,1087,21
2008,1,20,21,47,1171,58,N,16,5,154,W,58,91,0,6
2008,1,20,22,32,2574,61,N,18,53,152,W,14,17,165,8
2008,1,21,0,7,2362,61,N,4,47,152,W,15,20,1776,3
2008,1,21,4,2,4519,58,N,15,56,155,W,,19,341,0
2008,1,21,6,2,4220,53,N,24,65,168,W,3,57,1308,13
2008,1,21,8,33,391,58,N,15,85,154,W,54,62,400,4
2008,1,21,10,29,5981,58,N,10,23,155,W,21,37,100,9
2008,1,21,14,40,4339,58,N,27,27,154,W,37,28,414,11
2008,1,21,15,41,3545,61,N,15,51,152,W,24,84,530,6
2008,1,21,20,53,2386,61,N,15,39,152,W,25,7,575,4
2008,1,22,3,7,218,61,N,18,73,152,W,14,41,0,3
2008,1,22,4,19,4547,61,N,18,9,152,W,14,5,200,6
2008,1,22,6,33,2089,61,N,18,3,152,W,12,88,195,1
2008,1,22,14,12,3560,52,N,4,57,176,W,8,31,0,-9
2008,1,22,18,3,3692,61,N,9,51,152,W,18,49,467,6
2008,1,22,19,3,1194,58,N,14,77,155,W,9,35,376,5
2008,1,23,1,54,1252,61,N,8,22,152,W,22,4,434,3
2008,1,23,3,53,5008,61,N,3,88,152,W,18,11,1573,8
2008,1,23,3,54,4136,61,N,3,89,152,W,16,69,1422,3
2008,1,23,4,20,1428,61,N,2,99,152,W,15,48,1267,3
2008,1,23,8,6,4479,59,N,21,66,153,W,25,66,0,1
2008,1,23,12,25,5588,58,N,36,72,154,W,33,74,1027,12
2008,1,23,14,38,529,58,N,1,50,154,W,57,97,1492,13
2008,1,23,18,2,4425,58,N,4,33,155,W,17,43,887,10
2008,1,23,19,31,3688,61,N,18,42,152,W,15,21,202,11
2008,1,23,19,35,4701,58,N,13,77,155,W,9,67,0,0
2008,1,23,20,59,5684,53,N,29,21,167,W,28,69,1500,18
2008,1,23,21,35,2009,61,N,3,59,152,W,19,39,1423,17
2008,1,23,22,4,4017,61,N,57,7,144,W,12,43,339,10
2008,1,23,23,56,4136,59,N,21,66,153,W,26,32,0,-2
2008,1,24,8,0,4066,58,N,10,60,154,W,46,28,1493,9
2008,1,24,12,22,5404,61,N,8,72,152,W,23,29,502,18
2008,1,24,12,39,1022,61,N,8,26,152,W,22,8,508,1
2008,1,24,14,29,4743,61,N,3,73,152,W,17,94,1574,12
2008,1,24,19,26,743,58,N,35,36,154,W,35,84,1008,22
2008,1,25,2,28,2201,61,N,19,13,152,W,8,56,536,1
2008,1,25,4,21,900,61,N,18,61,152,W,13,87,395,7
2008,1,25,5,12,2367,58,N,18,28,155,W,46,51,0,5
2008,1,25,7,40,1549,58,N,14,9,155,W,8,5,0,3
2008,1,25,8,10,3589,58,N,13,88,155,W,7,93,0,6
2008,1,25,8,26,1328,58,N,14,64,155,W,8,46,260,8
2008,1,25,10,36,4722,60,N,32,45,152,W,30,21,1125,5
2008,1,25,15,50,5106,52,N,4,13,176,W,,22,697,5
2008,1,25,20,37,3288,58,N,9,92,154,W,46,17,877,15
2008,1,25,23,26,4401,58,N,17,47,154,W,58,95,0,8
2008,1,26,15,56,1541,58,N,16,16,155,W,9,6,743,6
2008,1,26,16,13,3142,58,N,16,7,155,W,,23,127,9
2008,1,27,1,25,2254,58,N,10,0,155,W,22,24,0,5
2008,1,27,4,3,666,58,N,10,78,154,W,45,61,1703,9
2008,1,27,11,53,3751,58,N,9,65,154,W,43,49,1016,5
2008,1,27,14,46,3865,61,N,16,57,152,W,13,74,0,1
2008,1,27,16,17,4218,60,N,30,90,152,W,50,61,355,4
2008,1,27,20,47,235,58,N,14,80,155,W,5,60,0,-1
2008,1,27,21,18,1537,61,N,19,23,152,W,11,74,187,4
2008,1,27,23,51,1874,58,N,9,65,154,W,45,18,984,13
2008,1,28,3,30,1959,58,N,21,53,154,W,52,62,235,8
2008,1,28,3,31,3029,61,N,3,83,152,W,15,23,1610,3
